Ticket name,College,City
Automobile and IC Engine Design,Rajiv gandhi institution of technology,Bangalore
Touch and Augmented Reality,"Acharyainstitutesoftechnology,Bangalore",Bangalore
Touch and Augmented Reality,"Acharya institute of technology, Bangalore",Bangalore
Cyber Forensics,Chennai,Chennai
General Registration,Chennai,Chennai
Quadcopter Workshop,"M.J.P. Rohilkhand University, Bareilly, Uttar Pradesh",Bareilly
General Registration,JNTU ANANTAPUR,Anantapur
Android Controlled Robotics,Anantapur,Anantapur
Pravega Accommodation for 2 nights,"JNTUA ANANTAPUR, ANANTAPUR",Anantapur
Pravega Accommodation for 2 nights,"Vignan Nirula institute of science and technology for women's,Guntur",Guntur
Android Controlled Robotics,"Vignan Nirula institute of science and technology for women's,Guntur",Guntur
Android Controlled Robotics,Bangalore,Bangalore
Big Data,RVRJC guntur,Guntur
Automobile and IC Engine Design,"M S RAMAIAH INSTITUTE OF TECHNOLOGY, BENGALURU",Bangalore
Android Controlled Robotics,JNTUA College of Engineering,Bangalore
Android Controlled Robotics,JNTUA College of Engineering,Bangalore
Android Controlled Robotics,JNTUA College of Engineering,Bangalore
Android Controlled Robotics,"JNTUA COLLEGE OF ENGINEERING ANATHAPURAMU,ANANTHAPUARAMU",Anantapur
Pravega Accommodation for 2 nights,"JNTUA COLLEGE OF ENGINEERING ANANTHAPURAMU,ANANTHAPURAMU",Anantapur
Android Controlled Robotics,JNTUA College Of Engineering Anantapur,Anantapur
Android Controlled Robotics,JNTUA College Of Engineering Anantapur,Anantapur
Pravega Accommodation for 2 nights,JNTUA College Of Engineering Anantapur,Anantapur
Android Controlled Robotics,JNTUA ANANTAPURAMU,Anantapur
Android Controlled Robotics,Jntua anantapur,Anantapur
Android Controlled Robotics,JNTU-anantapur,Anantapur
Touch and Augmented Reality,BNM INSTITUTE OF TECHNOLOGY,Bangalore
Touch and Augmented Reality,BNM INSTITUTE OF TECHNOLOGY,Bangalore
Automobile and IC Engine Design,"PSG Institute of Technology and Applied Research, Coimbatore.",Coimbatore
Pravega Accommodation for 2 nights,"PSG Institute of Technology and Applied Research, Coimbatore.",Coimbatore
General Registration,RV COLLEGE OF ENGINEERING,Bangalore
Android Controlled Robotics,"JNTUA COLLEGE OF ENGINEERING ANANTHAPURAMU,ANANTHAPURAMU",Anantapur
Pravega Accommodation for 2 nights,"JNTUA COLLEGE OF ENGINEERING ANANTHAPURAMU,ANANTHAPURAMU",Anantapur
